,angle,distance,time
1864,101.03125,4.773,2.8443737030029297
1865,102.125,4.822,2.844374418258667
1866,103.1875,4.7535,2.8443751335144043
1867,134.265625,4.37675,2.8443756103515625
1868,136.40625,4.4015,2.8443760871887207
1869,142.875,3.71475,2.844376564025879
1870,143.96875,3.741,2.844377279281616
1871,149.28125,4.19025,2.8443775177001953
1872,162.234375,5.66375,2.8443779945373535
1873,163.3125,5.50475,2.844378709793091
1874,165.578125,3.61225,2.844379186630249
1875,166.65625,3.5465,2.8443796634674072
1876,167.75,3.46875,2.8443801403045654
1877,168.84375,3.4675,2.8443806171417236
1878,169.9375,3.21475,2.844381093978882
1879,171.015625,3.268,2.84438157081604
1880,171.9375,5.364,2.8443822860717773
1881,173.0,5.30975,2.8443827629089355
1882,174.078125,5.27775,2.8443832397460938
1883,175.15625,5.27375,2.844383716583252
1884,176.234375,5.2395,2.8443844318389893
1885,183.9375,2.964,2.8443851470947266
1886,185.078125,2.7775,2.8443856239318848
1887,186.125,2.91975,2.844386100769043
1888,187.1875,2.92575,2.8443868160247803
1889,190.28125,4.19525,2.8443872928619385
1890,198.578125,1.261,2.8443875312805176
1891,200.25,2.27075,2.844388246536255
1892,201.3125,2.2545,2.844388961791992
1893,202.390625,2.332,2.8443892002105713
1894,203.578125,2.408,2.8443896770477295
1895,204.65625,2.4345,2.8443901538848877
1896,205.6875,2.477,2.844390630722046
1897,206.484375,5.307,2.844391107559204
1898,208.578125,1.11275,2.8443918228149414
1899,209.703125,1.1205,2.8443925380706787
1900,210.78125,1.12525,2.844393014907837
1901,211.78125,1.141,2.844393491744995
1902,212.90625,1.13725,2.8443939685821533
1903,214.453125,0.82175,2.8443942070007324
1904,215.53125,0.79875,2.8443946838378906
1905,216.671875,0.7835,2.844395875930786
1906,217.78125,0.778,2.8443963527679443
1907,218.890625,0.7655,2.8443965911865234
1908,219.96875,0.79825,2.8443970680236816
1909,221.015625,0.806,2.84439754486084
1910,222.171875,0.7665,2.844398260116577
1911,254.9375,0.19375,2.8443987369537354
1912,256.015625,0.19075,2.8443994522094727
1913,257.09375,0.1855,2.844399929046631
1914,258.1875,0.18375,2.844400405883789
1915,259.265625,0.183,2.844400644302368
1916,260.34375,0.189,2.8444013595581055
1917,261.421875,0.184,2.8444018363952637
1918,262.5,0.1825,2.844402313232422
1919,263.578125,0.182,2.844403028488159
1920,266.8125,0.17975,2.8444035053253174
1921,267.890625,0.17875,2.8444039821624756
1922,268.96875,0.178,2.844404458999634
1923,270.046875,0.17725,2.844404935836792
1924,271.125,0.177,2.84440541267395
1925,272.203125,0.1765,2.8444058895111084
1926,273.28125,0.17575,2.8444066047668457
1927,274.359375,0.17575,2.844407081604004
1928,275.4375,0.17625,2.844407558441162
1929,276.515625,0.17575,2.8444080352783203
1930,277.59375,0.176,2.8444085121154785
1931,278.671875,0.17575,2.8444089889526367
1932,279.75,0.17575,2.844409465789795
1933,280.84375,0.176,2.8444101810455322
1934,281.8125,0.17625,2.8444106578826904
1935,282.875,0.176,2.8444108963012695
1936,283.953125,0.177,2.844411611557007
1937,285.015625,0.17725,2.844412088394165
1938,286.09375,0.178,2.8444125652313232
1939,287.171875,0.1785,2.8444135189056396
1940,288.25,0.1785,2.844414234161377
1941,289.328125,0.17975,2.844414710998535
1942,290.390625,0.1795,2.8444151878356934
1943,291.46875,0.18125,2.8444156646728516
1944,292.53125,0.1815,2.8444161415100098
1945,293.609375,0.18275,2.844416856765747
1946,294.6875,0.183,2.8444173336029053
1947,295.75,0.18475,2.8444178104400635
1948,296.828125,0.1855,2.8444180488586426
1949,297.90625,0.1875,2.844418525695801
1950,298.96875,0.185,2.844419002532959
1951,300.046875,0.18775,2.844419479370117
1952,301.125,0.18625,2.8444201946258545
1953,302.1875,0.18725,2.8444204330444336
1954,303.265625,0.19,2.844420909881592
1955,304.34375,0.1905,2.84442138671875
1956,305.40625,0.194,2.844421863555908
1957,306.625,0.19425,2.8444223403930664
1958,308.53125,0.1995,2.8444228172302246
1959,309.859375,0.2015,2.844423294067383
1960,310.9375,0.2015,2.84442400932312
1961,325.078125,4.466,2.8444244861602783
1962,326.171875,4.40525,2.8444249629974365
1963,327.25,4.3605,2.8444254398345947
1964,329.203125,1.2135,2.844425916671753
1965,337.03125,1.0,2.844426393508911
1966,338.09375,0.99425,2.8444268703460693
1967,339.203125,0.982,2.8444275856018066
1968,340.34375,0.9695,2.844428062438965
1969,341.40625,0.95725,2.844428539276123
1970,342.40625,0.95825,2.8444290161132812
1971,343.59375,0.9475,2.8444292545318604
1972,344.609375,0.94225,2.8444297313690186
1973,345.703125,0.9315,2.8444302082061768
1974,346.828125,0.9315,2.844430923461914
1975,347.90625,0.932,2.8444314002990723
1976,348.984375,0.987,2.8444318771362305
1977,349.921875,1.049,2.8444323539733887
1978,350.921875,1.14375,2.844432830810547
1979,5.125,0.57625,3.0343780517578125
1980,6.140625,0.5755,3.034379243850708
1981,7.28125,0.57475,3.0343801975250244
1982,8.265625,0.5735,3.03438138961792
1983,9.34375,0.5735,3.0343821048736572
1984,10.59375,0.57275,3.0343828201293945
1985,11.640625,0.57425,3.0343832969665527
1986,12.671875,0.574,3.03438401222229
1987,13.625,0.575,3.0343847274780273
1988,14.8125,0.5755,3.0343856811523438
1989,15.9375,0.57625,3.034386157989502
1990,17.046875,0.5775,3.0343868732452393
1991,17.984375,0.5795,3.0343873500823975
1992,19.234375,0.58225,3.034388303756714
1993,20.296875,0.5825,3.034389019012451
